date, pm25, pm10, o3, no2, so2, co
2023/10/3, 29, 18, 25, 12, , 
2023/10/4, 30, 23, 25, 20, , 
2023/10/5, 43, 27, 33, 27, , 
2023/10/6, 52, 24, 36, 26, , 
2023/10/7, 56, 34, 26, 30, , 
2023/10/8, 74, 36, 29, 32, , 
2023/10/9, 63, 34, 37, 28, , 
2023/10/10, 60, 32, 35, 20, , 
2023/10/11, 47, 23, 24, 10, , 
2023/10/12, 40, 31, 30, 8, , 
2023/10/13, 50, 14, 24, 6, , 
2023/10/14, 26, 11, 25, 10, , 
2023/10/15, 25, 16, 21, 13, , 
2023/10/16, 33, 19, 16, 14, , 
2023/10/17, 36, 15, 22, 11, , 
2023/10/18, 28, 13, 23, 10, , 
2023/10/19, 21, 147, 25, 10, , 
2023/10/20, 17, 12, 29, 3, , 
2023/10/21, 17, 18, 26, 9, , 
2023/10/22, 26, 15, 18, 17, , 
2023/10/23, 32, 13, 26, 8, , 
2023/10/24, 19, 9, 22, 8, , 
2023/10/25, 9, 17, 21, 11, , 
2023/10/26, 22, 13, 25, 7, , 
2023/10/27, 14, 10, 26, 5, , 
2023/10/28, 14, 13, 28, 5, , 
2023/10/29, 17, 12, 19, 14, , 
2023/10/30, 19, 13, 21, 7, , 
2023/10/31, 13, 13, 23, 5, , 
2023/11/1, 16, 13, 30, 3, , 
2023/11/2, 18, 9, 22, 8, , 
2023/11/3, 18, 13, 29, 5, , 
2023/11/4, 24, 9, 30, 4, , 
2023/11/5, 16, 12, 27, 6, , 
2023/11/6, 12, 14, 25, 8, , 
2023/11/7, 20, 12, 23, 8, , 
2023/11/8, 15, 13, 24, 8, , 
2023/11/9, 20, 13, 23, 7, , 
2023/11/10, 26, 16, 19, 12, , 
2023/11/11, 30, 14, 24, 11, , 
2023/11/12, 30, 13, 24, 6, , 
2023/11/13, 20, 15, 27, 6, , 
2023/11/14, 21, 16, 24, 9, , 
2023/11/15, 18, 14, 19, 16, , 
2023/11/16, 32, 15, 20, 15, , 
2023/11/17, 27, 14, 16, 12, , 
2023/11/18, 28, 16, 26, 6, , 
2023/11/19, 25, 15, 25, 7, , 
